FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech
petrol,Tata,Indica V2,3399.0,3199.0,4199.0,2199.0
petrol,Tata,Indica Vista,3399.0,3199.0,4199.0,2199.0
petrol,Tata,Indigo,3499.0,3299.0,4199.0,2499.0
petrol,Tata,Indigo CS,3499.0,3299.0,4199.0,2499.0
petrol,Tata,Indigo eCS,3499.0,3299.0,4199.0,2499.0
petrol,Tata,Indigo Marina,3499.0,3299.0,4199.0,2499.0
petrol,Tata,Indigo XL,3499.0,3299.0,4199.0,2499.0
petrol,Tata,Manza,3499.0,3299.0,4699.0,2499.0
petrol,Tata,Nano,2699.0,2599.0,3499.0,1999.0
petrol,Tata,Nano GenX,2699.0,2599.0,3499.0,1999.0
petrol,Tata,Safari,,,,2899.0
petrol,Tata,Safari Storme,,,,2899.0
petrol,Tata,Sumo Gold,,,,2699.0
petrol,Tata,Sumo Grande,,,,2699.0
petrol,Tata,Sumo Spacio,,,,2699.0
petrol,Tata,Sumo Victa,,,,2699.0
petrol,Tata,Zest,3899.0,3599.0,4699.0,2499.0
petrol,Tata,Tiago,3399.0,3199.0,4299.0,2599.0
petrol,Tata,Nexon,4099.0,3899.0,5499.0,2499.0
petrol,Tata,Tigor,3499.0,3299.0,4299.0,2499.0
petrol,Tata,Hexa,7999.0,7499.0,11599.0,2599.0
petrol,Tata,Venture,,,,2699.0
petrol,Tata,Winger,,,,2499.0
petrol,Tata,Harrier,5299.0,4899.0,7199.0,2799.0
petrol,Tata,Punch,3499.0,3299.0,4299.0,2499.0
petrol,Tata,Xenon,,,,2899.0
petrol,Tata,Altroz,3199.0,2999.0,4099.0,2399.0
petrol,Tata,Tiago NRG,3399.0,3199.0,4299.0,2499.0
petrol,Ford,EcoSport,4099.0,3899.0,5499.0,2799.0
petrol,Ford,Endeavour,,,,2799.0
petrol,Ford,Escort,3899.0,3599.0,5599.0,2699.0
petrol,Ford,Fiesta,4099.0,3899.0,5799.0,2499.0
petrol,Ford,Fiesta Classic,4099.0,3899.0,5799.0,2499.0
petrol,Ford,Figo,3299.0,3099.0,5499.0,2199.0
petrol,Ford,Figo Aspire,3599.0,3399.0,5699.0,2499.0
petrol,Chevrolet,Aveo,3999.0,3799.0,5399.0,2499.0
petrol,Chevrolet,Beat,2999.0,2799.0,4899.0,2199.0
petrol,Chevrolet,Captiva,,,,2599.0
petrol,Chevrolet,Cruze,5199.0,4899.0,7399.0,2599.0
petrol,Chevrolet,Enjoy,4599.0,4299.0,5899.0,2499.0
petrol,Chevrolet,Optra,4399.0,4099.0,6199.0,2499.0
petrol,Chevrolet,Optra Magnum,4399.0,4099.0,6199.0,2499.0
petrol,Chevrolet,Optra SRV,4199.0,3899.0,6099.0,2499.0
petrol,Chevrolet,Sail,3699.0,3499.0,5399.0,2399.0
petrol,Chevrolet,Sail Hatchback,3499.0,3299.0,5299.0,2399.0
petrol,Chevrolet,Spark,2999.0,2799.0,4299.0,2199.0
petrol,Chevrolet,Tavera,,,,2699.0
petrol,Chevrolet,Uva,3799.0,3599.0,5299.0,2399.0
petrol,Chevrolet,Trailblazer,,,,2599.0
petrol,Kia,Seltos,4099.0,3899.0,5199.0,2699.0
petrol,Kia,Sonet,4099.0,3899.0,5499.0,2699.0
petrol,Kia,Carnival,6099.0,5699.0,8899.0,2899.0
petrol,Kia,Carens,4099.0,3899.0,5099.0,2599.0
petrol,Skoda,Fabia,4999.0,4699.0,7099.0,2499.0
petrol,Skoda,Fabia Scout,4999.0,4699.0,7099.0,2499.0
petrol,Skoda,Laura,4599.0,4299.0,6099.0,2499.0
petrol,Skoda,Octavia,5299.0,4999.0,7099.0,2499.0
petrol,Skoda,Rapid,5299.0,4999.0,7199.0,2499.0
