FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Discounted Price,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech,Dent and Paint Full Body,
petrol,Mahindra,Nuvosport,4099,4399,4099,5499,2499,25000,4299
petrol,Mahindra,Logan,3599,3899,3599,5699,2499,25000,3799
petrol,Mahindra,Marazzo,#N/A,#N/A,200,,2899,30000,400
petrol,Mahindra,XUV300,3999,4199,4499,5499,2699,#N/A,4699
petrol,Mahindra,3XO,3999,4199,3899,5499,2699,#N/A,4099
petrol,Mahindra,Bolero Camper,#N/A,#N/A,200,,2699,29000,400
petrol,Mahindra,Bolero Pickup,#N/A,#N/A,200,,2699,29000,400
petrol,Tata,Aria,5299,5499,5199,7299,2599,27000,5399
petrol,Tata,Bolt,3399,3699,3399,4199,2499,24000,3599
petrol,Tata,Indica,3399,3699,3399,4199,2199,20000,3599
petrol,Tata,Indica eV2,3399,3699,3399,4199,2199,20000,3599
petrol,Tata,Indica V2,3399,3699,3399,4199,2199,20000,3599
petrol,Tata,Indica Vista,3399,3699,3399,4199,2199,22000,3599
petrol,Tata,Indigo,3499,3799,3499,4199,2499,24000,3699
petrol,Tata,Indigo CS,3499,3799,3499,4199,2499,24000,3699
petrol,Tata,Indigo eCS,3499,3799,3499,4199,2499,24000,3699
petrol,Tata,Indigo Marina,3499,3799,3499,4199,2499,24000,3699
petrol,Tata,Indigo XL,3499,3799,3499,4199,2499,24000,3699
petrol,Tata,Manza,3499,3799,3499,4699,2499,24000,3699
petrol,Tata,Nano,2699,2899,2599,3499,1999,18000,2799
petrol,Tata,Nano GenX,2699,3099,2799,3499,1999,19000,2999
petrol,Tata,Safari,#N/A,#N/A,,,2899,30000,200
petrol,Tata,Safari Storme,#N/A,#N/A,,,2899,30000,200
petrol,Tata,Sumo Gold,#N/A,#N/A,,,2699,30000,200
petrol,Tata,Sumo Grande,#N/A,#N/A,,,2699,30000,200
petrol,Tata,Sumo Spacio,#N/A,#N/A,,,2699,30000,200
petrol,Tata,Sumo Victa,#N/A,#N/A,,,2699,30000,200
petrol,Tata,Zest,3899,4099,3799,4699,2499,24000,3999
petrol,Tata,Tiago,3399,3699,3399,4299,2599,24000,3599
petrol,Tata,Nexon,3999,4199,3899,5499,2499,25000,4099
petrol,Tata,Tigor,3499,3799,3499,4299,2499,24000,3699
petrol,Tata,Hexa,6599,6499,6599,11599,2599,27000,6799
petrol,Tata,Venture,#N/A,#N/A,200,,2699,30000,400
petrol,Tata,Winger,#N/A,#N/A,200,,2499,30000,400
petrol,Tata,Harrier,5299,5399,5099,7199,2799,30000,5299
petrol,Tata,Punch,3499,3699,3399,4299,2499,24000,3599
petrol,Tata,Xenon,#N/A,#N/A,200,,2899,25000,400
petrol,Tata,Altroz,3199,3499,3199,4099,2399,22000,3399
petrol,Tata,Tiago NRG,3399,3699,3399,4299,2499,22000,3599
petrol,Ford,EcoSport,3999,4299,3999,5499,2799,25000,4199
petrol,Ford,Endeavour,#N/A,#N/A,200,,2799,30000,400
petrol,Ford,Escort,3899,4099,3799,5599,2699,24000,3999
petrol,Ford,Fiesta,3699,3899,3599,5799,2499,24000,3799
petrol,Ford,Fiesta Classic,3699,3899,3599,5799,2499,24000,3799
petrol,Ford,Figo,2999,3299,2999,5499,2199,24000,3199
petrol,Ford,Figo Aspire,3599,3899,3599,5699,2499,24000,3799
petrol,Chevrolet,Aveo,3799,4099,3799,5399,2499,25000,3999
